id,compound_name,adduct,score,precursor_mz,ion_mobility,ccs,rt,mol_formula,smiles,inchi,inchi_key,method
11,Marazano_skeleton_40eV M+H,[M+H]+,0.593,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
12,Marazano_skeleton_40eV M+H,[M+H]+,0.567,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
13,Marazano_skeleton_40eV M+H,[M+H]+,0.240,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
14,Marazano_skeleton_40eV M+H,[M+H]+,0.240,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
15,Marazano_skeleton_40eV M+H,[M+H]+,0.424,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
16,Marazano_skeleton_40eV M+H,[M+H]+,0.230,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
17,Marazano_skeleton_40eV M+H,[M+H]+,0.620,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
18,Marazano_skeleton_40eV M+H,[M+H]+,0.471,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
19,Marazano_skeleton_40eV M+H,[M+H]+,0.837,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
20,Marazano_skeleton_40eV M+H,[M+H]+,0.460,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
21,Marazano_skeleton_40eV M+H,[M+H]+,0.593,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
22,Marazano_skeleton_40eV M+H,[M+H]+,0.841,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
23,Marazano_skeleton_40eV M+H,[M+H]+,0.862,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
24,Marazano_skeleton_40eV M+H,[M+H]+,0.732,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
25,Marazano_skeleton_40eV M+H,[M+H]+,0.982,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
26,Marazano_skeleton_40eV M+H,[M+H]+,0.928,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
27,Marazano_skeleton_40eV M+H,[M+H]+,0.811,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
28,Marazano_skeleton_40eV M+H,[M+H]+,0.720,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
29,Marazano_skeleton_40eV M+H,[M+H]+,0.957,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
30,Marazano_skeleton_40eV M+H,[M+H]+,0.753,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
31,Marazano_skeleton_40eV M+H,[M+H]+,0.959,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
32,Marazano_skeleton_40eV M+H,[M+H]+,0.691,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
33,Marazano_skeleton_40eV M+H,[M+H]+,0.935,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
34,Marazano_skeleton_40eV M+H,[M+H]+,0.957,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
35,Marazano_skeleton_40eV M+H,[M+H]+,0.959,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
36,Marazano_skeleton_40eV M+H,[M+H]+,0.668,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
37,Marazano_skeleton_40eV M+H,[M+H]+,0.576,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
38,Marazano_skeleton_40eV M+H,[M+H]+,0.795,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
39,Marazano_skeleton_40eV M+H,[M+H]+,0.589,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
40,Marazano_skeleton_40eV M+H,[M+H]+,0.919,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
41,Marazano_skeleton_40eV M+H,[M+H]+,0.566,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
42,Marazano_skeleton_40eV M+H,[M+H]+,0.575,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
43,Marazano_skeleton_40eV M+H,[M+H]+,0.659,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
44,Marazano_skeleton_40eV M+H,[M+H]+,0.472,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
45,Marazano_skeleton_40eV M+H,[M+H]+,0.944,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
46,Marazano_skeleton_40eV M+H,[M+H]+,0.538,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
47,Marazano_skeleton_40eV M+H,[M+H]+,0.598,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
48,Marazano_skeleton_40eV M+H,[M+H]+,0.962,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
49,Marazano_skeleton_40eV M+H,[M+H]+,0.713,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
50,Marazano_skeleton_40eV M+H,[M+H]+,0.490,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
51,Marazano_skeleton_40eV M+H,[M+H]+,0.426,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
52,Marazano_skeleton_40eV M+H,[M+H]+,0.957,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
53,Marazano_skeleton_40eV M+H,[M+H]+,0.883,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
